no,cat,name,city,addr,lat,lng,src
89,유치원,신대유치원,순천,전남광주통합특별시 순천시 해룡면 좌야로 77-19,34.936835,127.546086,nominatim
90,유치원,신대초등학교병설유치원,순천,전남광주통합특별시 순천시 해룡면 좌야로 159-10,34.930229,127.551023,nominatim
91,유치원,아이미소유치원,순천,전남광주통합특별시 순천시 해룡면 매안1길 23,34.92811,127.553226,nominatim
92,유치원,안데르센유치원,순천,전남광주통합특별시 순천시 왕궁중앙길 34 (조례동),34.955777,127.533405,nominatim
93,유치원,에코드림유치원,순천,전남광주통합특별시 순천시 해룡면 매안5길 15,34.931636,127.552264,nominatim
94,유치원,연향석화유치원,순천,전남광주통합특별시 순천시 연향중앙상가길 80 (연향동,34.952069,127.519563,nominatim
95,유치원,외서초등학교병설유치원,순천,전남광주통합특별시 순천시 외서면 반월로 6,34.911851,127.265961,nominatim
96,유치원,제일유치원,순천,전남광주통합특별시 순천시 해룡면 상성길 222,34.936386,127.539681,nominatim
97,유치원,주암초등학교병설유치원,순천,전남광주통합특별시 순천시 주암면 동주로 2093,35.064211,127.26525,nominatim
98,유치원,창촌초등학교병설유치원,순천,전남광주통합특별시 순천시 주암면 창동주암길 3,34.9506,127.4872,approx-city
99,유치원,청솔장미유치원,순천,전남광주통합특별시 순천시 해룡면 장선배기길 284 (청솔아파트),34.944898,127.530835,nominatim
100,유치원,킨더캐슬유치원,순천,전남광주통합특별시 순천시 해룡면 신대로 97 (중흥에스-클래스5단지),34.932809,127.548074,nominatim
101,유치원,팔마초등학교병설유치원,순천,전남광주통합특별시 순천시 해룡면 장선배기길 113,34.950666,127.530775,nominatim
102,유치원,해룡초등학교병설유치원,순천,전남광주통합특별시 순천시 해룡면 해룡로 1119,34.886292,127.521863,nominatim
103,유치원,황전초등학교병설유치원,순천,전남광주통합특별시 순천시 황전면 수평길 21,34.9506,127.4872,approx-city
104,유치원,힘스유치원,순천,전남광주통합특별시 순천시 해룡면 정채봉길 39-37,34.9506,127.4872,approx-city
105,유치원,골약초등학교병설유치원,광양,전남광주통합특별시 광양시 하포길 70-7 (황길동),34.9403,127.6959,approx-city
106,유치원,광양가야초등학교병설유치원,광양,전남광주통합특별시 광양시 가야로 369 (광영동),34.964108,127.713434,nominatim
107,유치원,광양덕례초등학교병설유치원,광양,전남광주통합특별시 광양시 광양읍 서산길 77,34.9403,127.6959,approx-city
108,유치원,광양동초등학교병설유치원,광양,전남광주통합특별시 광양시 광양읍 읍성길 61,34.9403,127.6959,approx-city
109,유치원,광양마동초등학교병설유치원,광양,전남광주통합특별시 광양시 진등6길 14 (마동),34.9403,127.6959,approx-city
110,유치원,광양마로초등학교병설유치원,광양,전남광주통합특별시 광양시 광양읍 와룡길 60,34.9403,127.6959,approx-city
111,유치원,광양백운초등학교병설유치원,광양,전남광주통합특별시 광양시 광장로 21 (중동),34.937139,127.691795,nominatim
112,유치원,광양서초등학교병설유치원,광양,전남광주통합특별시 광양시 광양읍 숲샘길 29,34.970824,127.585362,nominatim
113,유치원,광양용강초등학교병설유치원,광양,전남광주통합특별시 광양시 광양읍 용강1길 40,34.9403,127.6959,approx-city
114,유치원,광양제철유치원,광양,전남광주통합특별시 광양시 금호로 84 (금호동),34.934126,127.718806,nominatim
115,유치원,광양중동초등학교병설유치원,광양,전남광주통합특별시 광양시 광장로 112-6 (중동),34.933361,127.695699,nominatim
116,유치원,광양중마유치원,광양,전남광주통합특별시 광양시 구마10길 3-10 (중동),34.9403,127.6959,approx-city
117,유치원,광양중앙초등학교병설유치원,광양,전남광주통합특별시 광양시 불무길 15 (중동),34.9403,127.6959,approx-city
118,유치원,광양중진초등학교병설유치원,광양,전남광주통합특별시 광양시 광장로 75 (중동),34.933312,127.69282,nominatim
119,유치원,광양칠성초등학교병설유치원,광양,전남광주통합특별시 광양시 광양읍 서평로 60,34.9403,127.6959,approx-city
120,유치원,광영초등학교병설유치원,광양,전남광주통합특별시 광양시 금영로 140 (광영동),34.963251,127.720321,nominatim
121,유치원,리베유치원,광양,전남광주통합특별시 광양시 광양읍 신재로 82 (목성아파트),34.972724,127.589269,nominatim
122,유치원,부경유치원,광양,전남광주통합특별시 광양시 진등5길 25 (마동),34.9403,127.6959,approx-city
123,유치원,뽀뽀뽀유치원,광양,전남광주통합특별시 광양시 광영큰골길 26 (광영동),34.9403,127.6959,approx-city
124,유치원,산새소리숲유치원,광양,전남광주통합특별시 광양시 용장길 219 (성황동),34.945235,127.660138,nominatim
125,유치원,성황초등학교병설유치원,광양,전남광주통합특별시 광양시 지동길 15 (성황동),34.940497,127.682595,nominatim
126,유치원,신화유치원,광양,전남광주통합특별시 광양시 공영로 10 (중동,34.935842,127.694589,nominatim
127,유치원,엔젤유치원,광양,전남광주통합특별시 광양시 등논3길 5-4 (마동),34.952583,127.6962,nominatim
128,유치원,옥곡초등학교병설유치원,광양,전남광주통합특별시 광양시 옥곡면 옥진로 623,34.990859,127.689199,nominatim
129,유치원,옥룡초등학교병설유치원,광양,전남광주통합특별시 광양시 옥룡면 신재로 607,35.001589,127.609707,nominatim
130,유치원,진상초등학교병설유치원,광양,전남광주통합특별시 광양시 진상면 신시2길 44,34.9403,127.6959,approx-city
131,유치원,진월초등학교병설유치원,광양,전남광주통합특별시 광양시 진월면 방죽1길 10,34.9403,127.6959,approx-city
132,유치원,태인초등학교병설유치원,광양,전남광주통합특별시 광양시 태인길 95 (태인동),34.9403,127.6959,approx-city
133,유치원,혜화유치원,광양,전남광주통합특별시 광양시 영수길 94 (광영동),34.964912,127.719117,nominatim
134,어린이집,가야어린이집,광양,전라남도 광양시 가야로 88,34.948742,127.705336,nominatim
135,어린이집,경선어린이집,광양,전라남도 광양시 광양읍 인서4길 7,34.9403,127.6959,approx-city
136,어린이집,고운맘어린이집,광양,"전라남도 광양시 사동로 139 102동 106호(중동, 광양써니밸리아파트)",34.950085,127.688178,nominatim
137,어린이집,광산특수어린이집,광양,전라남도 광양시 마장1길 9-7,34.9403,127.6959,approx-city
138,어린이집,광양YMCA어린이집,광양,전라남도 광양시 세동길 17-8,34.9403,127.6959,approx-city
139,어린이집,광양광영2차부영사랑으로어린이집,광양,전라남도 광양시 금영로 16 광영부영2차아파트 단지내,34.959693,127.726691,nominatim
140,어린이집,광양동문디이스트어린이집,광양,전라남도 광양시 눈소10길 58 동문디이스트아파트 단지 내,34.946664,127.714279,nominatim
141,어린이집,광양보듬이나눔이어린이집,광양,전라남도 광양시 시청로 6 (중동),34.940116,127.700611,nominatim
142,어린이집,광양산이고운마린파크어린이집,광양,전라남도 광양시 항만10로 30 광양산이고운마린파크아파트 단지 내,34.923727,127.692568,nominatim
143,어린이집,광양세미존서희스타힐스어린이집,광양,전라남도 광양시 광양읍 무선2길 15 광양세미존서희스타힐스어린이집,34.957375,127.574424,nominatim
144,어린이집,광양센트럴자이어린이집,광양,전라남도 광양시 성황수동로 21 광양센트럴자이아파트 관리동 내,34.939564,127.678297,nominatim
145,어린이집,광양스위트엠르네상스어린이집,광양,전라남도 광양시 눈소4길 37 광양스위트엠르네상스 단지내,34.9403,127.6959,approx-city
146,어린이집,광양아카데미어린이집,광양,전라남도 광양시 광양읍 예구9길 18,34.9403,127.6959,approx-city
147,어린이집,광양어린이집,광양,전라남도 광양시 광양읍 남등4길 16-1,34.976787,127.578754,nominatim
148,어린이집,광양영무예다음어린이집,광양,전라남도 광양시 중마중앙로 273 영무예다음아파트 단지 내,34.930788,127.698163,nominatim
149,어린이집,광양의봄어린이집,광양,전라남도 광양시 광영의암2로 2 광양의봄프리미엄2차 단지내,34.9403,127.6959,approx-city
150,어린이집,광양중흥S클래스어린이집,광양,전라남도 광양시 눈소10길 16 단지 내,34.946525,127.711829,nominatim
151,어린이집,광양초원어린이집,광양,전라남도 광양시 봉강면 명암길 43-6,34.9403,127.6959,approx-city
152,어린이집,광양푸르지오더센트럴어린이집,광양,전라남도 광양시 황금4로 53 광양푸르지오더센트럴,34.914494,127.640112,nominatim
153,어린이집,광양푸르지오더퍼스트어린이집,광양,전라남도 광양시 성황수동로 22 광양푸르지오더퍼스트 단지내,34.939564,127.678297,nominatim
154,어린이집,광양한라비발디센트럴마크어린이집,광양,전라남도 광양시 황금4로 54 단지 내,34.914494,127.640112,nominatim
155,어린이집,근로복지공단 광양어린이집,광양,전라남도 광양시 중동2길 28 (중동),34.9403,127.6959,approx-city
156,어린이집,꼬마또래어린이집,광양,"전라남도 광양시 공영로 39 101-106(중동,호반리젠시빌)",34.935842,127.694589,nominatim
157,어린이집,꿈나무어린이집,광양,전라남도 광양시 중촌길 49 (중동),34.9403,127.6959,approx-city
158,어린이집,꿈사랑어린이집,광양,"전라남도 광양시 진등길 40 105동 105호(중동, 대광로제비앙아파트)",34.957135,127.691202,nominatim
159,어린이집,꿈이자라는어린이집,광양,전라남도 광양시 광양읍 용강1길 12 205동 102호 (창덕에버빌아파트),34.9403,127.6959,approx-city
160,어린이집,낙원어린이집,광양,전라남도 광양시 옥곡면 금영로 257,34.9403,127.6959,approx-city
161,어린이집,내친구어린이집,광양,전라남도 광양시 느지매기길 25-16,34.9403,127.6959,approx-city
162,어린이집,내품에어린이집,광양,"전라남도 광양시 공영로 10 102동 105호(중동, 금광아파트)",34.935842,127.694589,nominatim
