기준일자,전시ID,전시명,일일유료,일일무료,일일총인원,일일금액,누계유료,누계무료,누계총인원,누계금액,점유율
20240518,240305_01,어린이 미술전<파르르 파르르>,41,1,42,156000,2402,153,2555,9694400,80.8
20240518,240412_01,창작스튜디오 5기 프리뷰전,29,0,29,87000,961,83,1044,2883000,288.3
20240518,240517_01,창작스튜디오 5기 오픈스튜디오(무료),0,0,340,0,,,479,0,
20240519,240305_01,어린이 미술전<파르르 파르르>,59,6,65,176000,2461,159,2620,9870400,82.3
20240519,240412_01,창작스튜디오 5기 프리뷰전,34,6,40,102000,995,89,1084,2985000,298.5
20240519,240517_01,창작스튜디오 5기 오픈스튜디오(무료),0,0,517,0,,,996,0,
20240521,240305_01,어린이 미술전<파르르 파르르>,9,24,33,36000,2470,183,2653,9906400,82.6
20240522,240305_01,어린이 미술전<파르르 파르르>,16,76,92,64000,2486,259,2745,9970400,83.1
20240523,240305_01,어린이 미술전<파르르 파르르>,17,54,71,56000,2503,313,2816,10026400,83.6
20240524,240305_01,어린이 미술전<파르르 파르르>,52,29,81,196000,2555,342,2897,10222400,85.2
20240525,240305_01,어린이 미술전<파르르 파르르>,91,0,91,320000,2646,342,2988,10542400,87.9
20240526,240305_01,어린이 미술전<파르르 파르르>,56,1,57,200000,2702,343,3045,10742400,89.5
20240712,240712_01,앙리 마티스 LOVE & JAZZ,73,2,75,419000,73,2,75,419000,2.1
20240713,240712_01,앙리 마티스 LOVE & JAZZ,120,1,121,634000,193,3,196,1053000,5.3
20240714,240712_01,앙리 마티스 LOVE & JAZZ,91,0,91,499000,284,3,287,1552000,7.8
20240716,240712_01,앙리 마티스 LOVE & JAZZ,22,0,22,148000,306,3,309,1700000,8.5
20240717,240712_01,앙리 마티스 LOVE & JAZZ,19,0,19,105000,325,3,328,1805000,9
20240718,240712_01,앙리 마티스 LOVE & JAZZ,25,5,30,151000,350,8,358,1956000,9.8
20240719,240712_01,앙리 마티스 LOVE & JAZZ,35,5,40,175000,385,13,398,2131000,10.7
20240720,240712_01,앙리 마티스 LOVE & JAZZ,74,0,74,412000,459,13,472,2543000,12.7
20240721,240712_01,앙리 마티스 LOVE & JAZZ,107,0,107,621000,566,13,579,3164000,15.8
20240723,240712_01,앙리 마티스 LOVE & JAZZ,25,0,25,127000,591,13,604,3291000,16.5
20240723,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,14,69,83,42000,14,69,83,42000,4.2
20240724,240712_01,앙리 마티스 LOVE & JAZZ,19,29,48,99000,610,42,652,3390000,17
20240724,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,12,1,13,36000,26,70,96,78000,7.8
20240725,240712_01,앙리 마티스 LOVE & JAZZ,26,0,26,148000,636,42,678,3538000,17.7
20240725,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,18,2,20,54000,44,72,116,132000,13.2
20240726,240712_01,앙리 마티스 LOVE & JAZZ,39,0,39,219000,675,42,717,3757000,18.8
20240726,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,20,4,24,60000,64,76,140,192000,19.2
20240727,240712_01,앙리 마티스 LOVE & JAZZ,98,0,98,530000,773,42,815,4287000,21.4
20240727,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,23,4,27,69000,87,80,167,261000,26.1
20240728,240712_01,앙리 마티스 LOVE & JAZZ,90,0,90,510000,863,42,905,4797000,24
20240728,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,36,6,42,108000,123,86,209,369000,36.9
20240730,240712_01,앙리 마티스 LOVE & JAZZ,125,12,137,715000,988,54,1042,5512000,27.6
20240730,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,49,0,49,147000,172,86,258,516000,51.6
20240731,240712_01,앙리 마티스 LOVE & JAZZ,81,2,83,475000,1069,56,1125,5987000,29.9
20240731,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,14,0,14,42000,186,86,272,558000,55.8
20240801,240712_01,앙리 마티스 LOVE & JAZZ,87,4,91,503000,1156,60,1216,6490000,32.5
20240801,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,23,0,23,69000,209,86,295,627000,62.7
20240802,240712_01,앙리 마티스 LOVE & JAZZ,100,0,100,560000,1256,60,1316,7050000,35.3
20240802,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,43,1,44,129000,252,87,339,756000,75.6
20240803,240712_01,앙리 마티스 LOVE & JAZZ,108,0,108,626000,1364,60,1424,7676000,38.4
