순번,구분,기관명,주소,우편번호
139,광양_어린이집,광양광영2차부영사랑으로어린이집,전라남도 광양시 금영로 16 광영부영2차아파트 단지내,
140,광양_어린이집,광양동문디이스트어린이집,전라남도 광양시 눈소10길 58 동문디이스트아파트 단지 내,
141,광양_어린이집,광양보듬이나눔이어린이집,전라남도 광양시 시청로 6 (중동),
142,광양_어린이집,광양산이고운마린파크어린이집,전라남도 광양시 항만10로 30 광양산이고운마린파크아파트 단지 내,
143,광양_어린이집,광양세미존서희스타힐스어린이집,전라남도 광양시 광양읍 무선2길 15 광양세미존서희스타힐스어린이집,
144,광양_어린이집,광양센트럴자이어린이집,전라남도 광양시 성황수동로 21 광양센트럴자이아파트 관리동 내,
145,광양_어린이집,광양스위트엠르네상스어린이집,전라남도 광양시 눈소4길 37 광양스위트엠르네상스 단지내,
146,광양_어린이집,광양아카데미어린이집,전라남도 광양시 광양읍 예구9길 18,
147,광양_어린이집,광양어린이집,전라남도 광양시 광양읍 남등4길 16-1,
148,광양_어린이집,광양영무예다음어린이집,전라남도 광양시 중마중앙로 273 영무예다음아파트 단지 내,
149,광양_어린이집,광양의봄어린이집,전라남도 광양시 광영의암2로 2 광양의봄프리미엄2차 단지내,
150,광양_어린이집,광양중흥S클래스어린이집,전라남도 광양시 눈소10길 16 단지 내,
151,광양_어린이집,광양초원어린이집,전라남도 광양시 봉강면 명암길 43-6,
152,광양_어린이집,광양푸르지오더센트럴어린이집,전라남도 광양시 황금4로 53 광양푸르지오더센트럴,
153,광양_어린이집,광양푸르지오더퍼스트어린이집,전라남도 광양시 성황수동로 22 광양푸르지오더퍼스트 단지내,
154,광양_어린이집,광양한라비발디센트럴마크어린이집,전라남도 광양시 황금4로 54 단지 내,
155,광양_어린이집,근로복지공단 광양어린이집,전라남도 광양시 중동2길 28 (중동),
156,광양_어린이집,꼬마또래어린이집,"전라남도 광양시 공영로 39 101-106(중동,호반리젠시빌)",
157,광양_어린이집,꿈나무어린이집,전라남도 광양시 중촌길 49 (중동),
158,광양_어린이집,꿈사랑어린이집,"전라남도 광양시 진등길 40 105동 105호(중동, 대광로제비앙아파트)",
