uid	번호	구분	공연장	티켓오픈	제목	모수	연령_20세 미만	연령_20~29세	연령_30~39세	연령_40~49세	연령_50~59세	연령_60~69세	연령_70세 이상	거주_여수	거주_순천	거주_광양	거주_호남	거주_광주	거주_호남외지역
1131	1113	대관	소극장	2024.10.10 10시	[메인출력]제 11회 전남학교예술교육페스티벌 - 복합장르	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1130	1112	대관	대극장	2024.10.10 10시	[메인출력]제 11회 전남학교예술교육페스티벌-오케스트라	5	0	0	0	100	0	0	0	40	0	0	0	0	60
1129	1111	대관	대극장	01시	[메인출력]창작오페라 침묵 <바다에 핀 동백>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1128	1110	대관	대극장	01시	[메인출력]제 48회 여수예술제	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1127	1109	대관	소극장	2024.09.24 01시	[메인출력]제 48회 여수예술제 - 가을밤의 세레나데	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1126	1108	대관	소극장	2024.09.15 01시	[메인출력]반짝반짝 빛나는 마술사의 방	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1125	1107	대관	대극장	2024.09.11 14시	[메인출력]2024 V.O.S 20주년 전국투어 콘서트 〈우리의 스무살〉 - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1124	1106	기획	대극장	2024.09.13 16시	[메인출력]3테너 콘서트 in 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1123	1105	대관	소극장	01시	[메인출력]내가 사랑한 프랑스 화가와 음악가들	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1122	1104	대관	대극장	01시	[메인출력]인천시립합창단과 함께하는 <손양원 목사 음악회>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121	1103	대관	대극장	2024.09.02 14시	[메인출력]KBS교향악단과 함께하는 제 8회 <여수 음악제> 폐막연주회 - 대니구 <새로운 페이지>	11	0	0	36.37	36.36	9.09	18.18	0	72.73	0	0	0	0	27.27
1120	1102	대관	소극장	2024.09.02 14시	[메인출력]KBS교향악단과 함께하는 제 8회 <여수 음악제> 소극장 시리즈 Ⅱ - 길병민의 <별을 캐는 밤>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1119	1101	대관	소극장	2024.09.02 14시	[메인출력]KBS교향악단과 함께하는 제 8회 <여수 음악제> 소극장 시리즈 Ⅰ - 홍진호의<안 디 무지크>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1118	1100	대관	대극장	2024.09.02 14시	[메인출력]KBS교향악단과 함께하는 제 8회 <여수 음악제> - 기돈크레머&크레메레타 발티카<‘Living Legend’>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1117	1099	대관	대극장	2024.09.01 14시	[메인출력]KBS교향악단과 함께하는 제 8회 <여수 음악제> - <정명훈과 친구들>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1116	1098	대관	대극장	2024.08.31 14시	[메인출력]KBS교향악단과 함께하는 제 8회 <여수 음악제> 개막 연주회 - 정명훈의 <Triple Concerto>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1115	1097	대관	소극장	01시	[메인출력]2024 제 18회 루미아 플룻 콰이어 정기연주회<해피콘서트 짬쏭, 모두 모여樂>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1114	1096	대관	소극장	01시	[메인출력]JOY OF PERCUSSION 제6회 정기연주회 <지브리X탱고>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1113	1095	대관	소극장	01시	[메인출력]제 1회 여수 국제 웹페스트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112	1094	대관	대극장	01시	[메인출력]2024 영호남 4개도시 청소년 교류음악회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
